"Date","Time","Open","High","Low","Close","Up","Down"
05/11/2022,01:15:59,4018.25,4018.25,4018.25,4018.25,1,0
05/11/2022,01:16:00,4018.25,4018.25,4018.25,4018.25,1,0
05/11/2022,01:16:03,4018.25,4018.50,4018.25,4018.50,8,0
05/11/2022,01:16:04,4018.25,4018.25,4018.25,4018.25,0,5
05/11/2022,01:16:10,4018.25,4018.25,4017.50,4017.50,2,80
05/11/2022,01:16:12,4017.50,4017.50,4017.50,4017.50,0,9
05/11/2022,01:16:13,4017.75,4017.75,4017.75,4017.75,3,0
05/11/2022,01:16:14,4017.50,4017.50,4017.50,4017.50,0,10
05/11/2022,01:16:16,4017.50,4017.50,4017.50,4017.50,0,8
05/11/2022,01:16:18,4017.25,4017.50,4017.25,4017.50,1,25
05/11/2022,01:16:23,4017.50,4017.50,4017.25,4017.25,10,1
05/11/2022,01:16:25,4017.50,4017.50,4017.25,4017.25,6,1
05/11/2022,01:16:28,4017.25,4017.25,4017.25,4017.25,0,4
05/11/2022,01:16:30,4017.50,4017.50,4017.50,4017.50,7,0
05/11/2022,01:16:31,4017.25,4017.25,4017.25,4017.25,0,1
05/11/2022,01:16:32,4017.25,4017.25,4017.25,4017.25,0,1
05/11/2022,01:16:33,4017.25,4017.25,4017.25,4017.25,0,7
05/11/2022,01:16:34,4017.25,4017.25,4017.25,4017.25,0,4
05/11/2022,01:16:35,4017.25,4017.25,4017.00,4017.00,0,7
05/11/2022,01:16:39,4017.25,4017.50,4017.25,4017.25,4,1
05/11/2022,01:16:40,4017.25,4017.25,4017.25,4017.25,0,2
05/11/2022,01:16:42,4017.50,4017.50,4017.50,4017.50,15,0
05/11/2022,01:16:45,4017.50,4017.50,4017.50,4017.50,1,0
05/11/2022,01:16:48,4017.75,4017.75,4017.75,4017.75,9,0
05/11/2022,01:16:49,4017.50,4017.50,4017.50,4017.50,0,5
05/11/2022,01:16:55,4017.50,4017.50,4017.25,4017.25,0,15
05/11/2022,01:16:56,4017.25,4017.25,4017.25,4017.25,0,14
05/11/2022,01:16:59,4017.25,4017.25,4017.25,4017.25,0,1
05/11/2022,01:17:03,4017.25,4017.25,4017.25,4017.25,0,2
05/11/2022,01:17:05,4017.25,4017.25,4017.25,4017.25,0,7
05/11/2022,01:17:06,4017.50,4017.75,4017.50,4017.75,26,0
05/11/2022,01:17:09,4018.00,4018.00,4018.00,4018.00,7,0
05/11/2022,01:17:10,4018.25,4018.25,4018.25,4018.25,34,0
05/11/2022,01:17:12,4018.25,4018.25,4018.00,4018.00,25,10
05/11/2022,01:17:13,4018.25,4018.50,4018.25,4018.50,7,0
05/11/2022,01:17:14,4018.25,4018.25,4018.25,4018.25,0,11
05/11/2022,01:17:15,4018.25,4018.25,4018.25,4018.25,0,2
05/11/2022,01:17:16,4018.25,4018.25,4018.25,4018.25,0,1
05/11/2022,01:17:19,4018.25,4018.25,4018.25,4018.25,0,1
05/11/2022,01:17:20,4018.00,4018.00,4018.00,4018.00,0,7
05/11/2022,01:17:23,4018.25,4018.25,4018.25,4018.25,5,0
05/11/2022,01:17:29,4018.25,4018.25,4018.25,4018.25,1,0
05/11/2022,01:17:30,4018.00,4018.00,4018.00,4018.00,0,4
05/11/2022,01:17:35,4018.25,4018.25,4018.25,4018.25,26,0
05/11/2022,01:17:36,4018.50,4018.50,4018.50,4018.50,42,0
05/11/2022,01:17:37,4018.25,4018.25,4018.25,4018.25,0,13
05/11/2022,01:17:38,4018.50,4018.50,4018.50,4018.50,2,0
05/11/2022,01:17:39,4018.50,4018.50,4018.50,4018.50,22,0
